4;1223334444;01/02/2023-15/02/2023;Mazuren;Mazuren;1223334444;MBM926;activa;456123000,4258444,1001450231;Porvenir,Sura
3;1223334444;01/06/2023-03/06/2023;Salitre;Mazuren;1223334444;NEN957;finalizada;51553871;Sura
e14;1457896312;02/11/2023-02/11/2023;Mazuren;Ciudadela;1457896312;DFG896;finalizada; ; 
10;1001168408;01/01/2023-01/02/2023;Sabana;Mazuren;1001168408;GGH978;finalizada; ; 
e11;1111000022;08/05/2023-08/05/2023;Sabana;Mazuren;1111000022;DFG896;finalizada; ; 
13;1001168408;02/03/2023-02/04/2023;Mazuren;Mazuren;1001168408;MBM926;activa;1001456987; 
e6;1111000022;02/02/2023-02/02/2023;Sabana;Mazuren;1111000022;GHD265;finalizada; ; 
12;1001168408;02/02/2023-15/04/2023;Sabana;Sabana;1001168408;GHD265;finalizada;1001456123;Sura
e17;1111000022;06/06/2023-06/06/2023;Sabana;Norte;1111000022;GHD265;finalizada; ; 
e15;1111000022;15/02/2023-15/02/2023;Sabana;Norte;1111000022;OPI222;finalizada; ; 
9;1001168408;02/11/2023-09/11/2023;Ciudadela;Ciudadela;1001168408;QWE100;activa; ; 
e18;1457896312;05/09/2023-05/09/2023;Mazuren;Salitre;1457896312;GGH978;finalizada; ; 
7;1001168408;05/05/2023-18/05/2023;Ciudadela;Sabana;1001168408;QKL087;finalizada; ; 
e2;1701456245;05/02/2023-05/02/2023;Mazuren;Sabana;1701456245;GHD265;finalizada; ; 
1;1001168408;02/05/2023-05/06/2023;Mazuren;Salitre;1001168408;WSG054;finalizada; ; 
e16;2121212121;02/06/2023-02/06/2023;Salitre;Mazuren;2121212121;DDF290;finalizada; ; 
18;1001168408;06/06/2023-10/06/2023;Norte;Ciudadela;1001168408;TYU921;activa; ; 
5;1457896312;05/08/2023-05/08/2023;Mazuren;Salitre;1457896312;DDF290;finalizada; ; 
e19;1111000022;11/11/2023-11/11/2023;Sabana;Mazuren;1111000022;SSD002;finalizada; ; 
